"","Sample","Date.x","Filter_type","Filter_size","Filter_box_nr","Filter_blank","Volume","Date.y","Day","Treatment","C","N","O","Na","Mg","Al","Si","P","S","Cl","K","Ca","Mn","Fe","Cu","As"
"1","COM001","04.12.2019 10:16:35","PC",0.8,1,NA,1000,2019-10-05,0,"K1",-4.19727307987776,0.292013243234358,0.328051062623146,-0.0555794187038898,0.0353942596959773,-4.29223949249818,0.214839894481337,0.0571136031095601,0.00873269864272115,-0.156691096454836,0.0166137278818858,0.407282904997713,0.00381816396144658,0.0710018744251829,0.00221596493012851,0.0022706416435
"2","COM002","04.12.2019 10:28:50","PC",0.8,1,NA,1000,2019-10-05,0,"K2",-21.693541768825,0.144908827469682,0.903094059023603,-0.0158633957507158,0.114751176353648,-0.70258601635533,0.719814744485299,0.0865719419147897,0.0176522092486027,-0.0966192021193208,0.0709640371794572,1.02284151659899,0.00736572806736895,0.174979979381051,0.00330738006507737,0.00243926592281343
"3","COM003","04.12.2019 10:41:07","PC",0.8,1,NA,1000,2019-10-05,0,"K3",0.0203993183491205,0.463269130243982,0.175820512908335,-0.0593885382438315,0.0189933823922853,-3.36294394518937,0.0896068089591674,0.0540617776874303,0.00765563944143786,-0.14200991738558,0.00607040057222751,0.134440781105661,0.0023406887502844,0.0287419812443775,0.00157085338196171,0.00259301158924627
"4","COM004","09.12.2019 10:31:11","PC",0.8,1,NA,1000,2019-10-05,0,"NPC1",-264.503908169284,-4.34506923579546,17.3581474061393,6.2858249361433,0.418049842931419,29.3645906529696,28.7122602791938,0.0278380083415838,0.0211334836500387,0.333038745490407,6.42956777559446,4.86888871652897,0.111405960519317,0.403255711131717,0.10744623608267,0.0932112033385224
"5","COM005","09.12.2019 10:42:29","PC",0.8,1,NA,1000,2019-10-05,0,"NPC2",-264.428657350485,-4.26822364547063,17.0792839263452,6.29761535146928,0.457813802017004,29.0480514280366,28.3539459231593,0.0314746146829242,0.0293319122482815,0.894467546946451,6.29131939958605,4.80742282803954,0.112737311808496,0.397706637394816,0.10900626998374,0.0940419258910224
"6","COM006","09.12.2019 10:53:21","PC",0.8,1,NA,1000,2019-10-05,0,"NPC3",-265.201564856824,-4.31213541137053,17.5364272981891,6.3021267774244,0.368108240194148,29.5360770113947,28.8164553915862,0.0272715018260986,0.0169366038131738,0.433962283565555,6.35498542083255,4.57780727990789,0.111755034332943,0.355560488038779,0.10864516980898,0.0941832727133881
"7","COM007","09.12.2019 11:05:37","PC",0.8,1,NA,1000,2019-10-05,0,"uZ1",1.75207478709661,0.581830898173722,0.156245862598815,-0.0490563014917395,0.0157596216280682,-4.69809299513395,0.126493106313914,0.0557430228301605,0.00738181083094211,-0.151998936512472,0.00760964137068188,0.167029411683524,0.0032986122388401,0.0452998323070481,0.00158911125596643,0.00311376304006716
"8","COM008","09.12.2019 11:17:52","PC",0.8,1,NA,1000,2019-10-05,0,"uZ2",0.544435140828733,0.474247071718957,0.159407921494968,-0.0485861132985279,0.0215706194886018,-4.17604993749831,0.103342869885969,0.0567115662276029,0.00833838544360727,-0.157265178013853,0.00725079995754528,0.171547892131085,0.00346909014782035,0.0377074320037774,0.000489581510348807,0.00132336995676866
"9","COM009","09.12.2019 11:30:12","PC",0.8,1,NA,1000,2019-10-05,0,"uZ3",3.97424053259406,0.406183834574107,0.102340287131058,-0.0438306656228819,0.00822639423871649,-5.18700214925252,0.0567926504677745,0.0544820889731128,0.00693455743379905,-0.126394898980324,0.0032657716327125,0.0318983990600079,0.00252740265059611,0.0227135585316681,0.00186095071337005,0.00286578615872388
"10","COM010","09.12.2019 11:41:06","GFF",NA,1,NA,1000,2019-10-05,0,"K1",2.64975056870118,0.209095479031181,-0.645511737514733,-0.104405585890091,0.180803564541352,-0.170308264077752,-0.315199915594913,0.0133537159488884,0.0305708345837689,0.54612761430305,0.0470397024378375,0.172015397184712,0.00116087338019885,0.141495963918365,0.000190693350715978,-0.00072243931431343
"11","COM011","09.12.2019 11:51:58","GFF",NA,1,NA,1000,2019-10-05,0,"K2",2.83511237476685,0.187791411356306,-0.902993676201503,-0.0203668860401256,0.284851878308994,-0.612388167892188,-0.695563929986177,0.0152741730363832,0.0548448281421822,1.42331658205989,-0.00516700157599741,0.113559623781138,0.000828035557904076,0.0937438689130431,0.000701913822848155,0.000390976882917917
"12","COM012","09.12.2019 12:02:52","GFF",NA,1,NA,1000,2019-10-05,0,"K3",2.48853551131839,0.23513378396714,-0.646716331379934,-0.0485900811313813,0.201568034037742,-0.448780315414558,-0.315678243756617,0.0136634670920327,0.0361605892860222,0.797077799801249,0.0443058974614407,0.0463910557224603,0.000844271549235527,0.0775313116041327,0.00207531167853658,0.00166061851539552
"13","COM013","09.12.2019 12:15:04","GFF",NA,1,NA,1000,2019-10-05,0,"NPC1",404.277650021676,4.91729443517858,-17.8228696810517,-6.46304620665552,-0.225276172445089,-26.4248034711416,-28.9809156193606,-0.00234034197042374,0.0151195988555287,-0.0405607757497318,-6.34802893378841,-4.31532524442122,-0.111362664542433,-0.274595196201171,-0.108031840485932,-0.0932029374424776
"14","COM014","09.12.2019 12:27:34","GFF",NA,1,NA,1000,2019-10-05,0,"NPC2",403.389191709844,4.98357375683374,-17.9263141792259,-6.43916778853951,-0.233178885247538,-26.7746974922819,-29.0332946695635,-0.00516940241114185,0.010654366980378,-0.00438598311088814,-6.34951151541637,-4.43169430894916,-0.111849744282376,-0.311533503294612,-0.108591748622077,-0.0937311281997388
