Filter_type,Filter_size,Filter_box_nr,Al,As,C,Ca,Cl,Cu,Fe,K,Mg,Mn,N,Na,O,P,S,Si
GFF,NA,1,78.6387,4.816533333333333,0.2767,68.20026666666666,1.6902,6.136,8.421533333333333,134.71123333333333,8.7988,1.5509,0.22066666666666668,109.2374,14.7512,0.17113333333333333,0.3451666666666667,687.3644666666667
GFF,NA,2,79.52446666666667,4.874066666666667,0.3262333333333333,69.66396666666667,0.9594666666666667,6.228466666666667,8.5974,134.34756666666667,9.467466666666667,1.5706333333333333,0.22116666666666668,108.23076666666667,14.794233333333333,0.17993333333333333,0.2795333333333333,693.0419
PC,0.8,1,38.194,1.0384333333333333,59.0216,0.5368333333333334,3.0853666666666664,0.8269666666666666,0.5642666666666667,0.18413333333333334,0.6369,0.17476666666666665,0.4247,1.4212333333333333,2.7710333333333335,0.08196666666666666,0.5710333333333333,0.5343333333333333
PC,0.8,2,38.957499999999996,1.0460666666666667,58.9065,0.44626666666666664,2.9769,0.8506666666666667,0.5261333333333333,0.17203333333333334,0.6559,0.17523333333333335,0.43143333333333334,1.0206,2.7754666666666665,0.0849,0.35936666666666667,0.5629333333333333
