"","Sample","Date.x","Filter_type","Filter_size","Filter_box_nr","Filter_blank","Volume","Date.y","Day","Treatment","Element","Concentration","Detection_limit"
"1","COM001","04.12.2019 10:16:35","PC",0.8,1,NA,1000,2019-10-05,0,"K1","C",-4.19727307987776,1.22193802149026
"2","COM001","04.12.2019 10:16:35","PC",0.8,1,NA,1000,2019-10-05,0,"K1","C",-4.19727307987776,1.22193802149026
"3","COM001","04.12.2019 10:16:35","PC",0.8,1,NA,1000,2019-10-05,0,"K1","C",-4.19727307987776,1.22193802149026
"4","COM001","04.12.2019 10:16:35","PC",0.8,1,NA,1000,2019-10-05,0,"K1","N",0.292013243234358,0.312338639119395
"5","COM001","04.12.2019 10:16:35","PC",0.8,1,NA,1000,2019-10-05,0,"K1","N",0.292013243234358,0.312338639119395
"6","COM001","04.12.2019 10:16:35","PC",0.8,1,NA,1000,2019-10-05,0,"K1","N",0.292013243234358,0.312338639119395
"7","COM001","04.12.2019 10:16:35","PC",0.8,1,NA,1000,2019-10-05,0,"K1","O",0.328051062623146,0.0322146560280234
"8","COM001","04.12.2019 10:16:35","PC",0.8,1,NA,1000,2019-10-05,0,"K1","O",0.328051062623146,0.0322146560280234
"9","COM001","04.12.2019 10:16:35","PC",0.8,1,NA,1000,2019-10-05,0,"K1","O",0.328051062623146,0.0322146560280234
"10","COM001","04.12.2019 10:16:35","PC",0.8,1,NA,1000,2019-10-05,0,"K1","Na",-0.0555794187038898,0.0362539069926691
"11","COM001","04.12.2019 10:16:35","PC",0.8,1,NA,1000,2019-10-05,0,"K1","Na",-0.0555794187038898,0.0362539069926691
"12","COM001","04.12.2019 10:16:35","PC",0.8,1,NA,1000,2019-10-05,0,"K1","Na",-0.0555794187038898,0.0362539069926691
"13","COM001","04.12.2019 10:16:35","PC",0.8,1,NA,1000,2019-10-05,0,"K1","Mg",0.0353942596959773,0.00465264605182871
"14","COM001","04.12.2019 10:16:35","PC",0.8,1,NA,1000,2019-10-05,0,"K1","Mg",0.0353942596959773,0.00465264605182871
"15","COM001","04.12.2019 10:16:35","PC",0.8,1,NA,1000,2019-10-05,0,"K1","Mg",0.0353942596959773,0.00465264605182871
