Sample	Date	C (%)	N (%)	O (%)	Na (PPM)	Mg (PPM)	Al (PPM)	Si (PPM)	P	S	Cl (PPM)	K (PPM)	Ca (PPM)	Mn (PPM)	Fe (PPM)	Cu (PPM)	As (PPM)	C (Int)	N (Int)	O (Int)	Na (Int)	Mg (Int)	Al (Int)	Si (Int)	P (Int)	S (Int)	Cl (Int)	K (Int)	Ca (Int)	Mn (Int)	Fe (Int)	Cu (Int)	As (Int)	
2AEN266	14.01.2020 13:58:23	45134140,63	12,18	1,33	23	51	8	3	828 PPM	245 PPM	35	1	2	6	1	0	0	58,8713	0,4363	2,9199	0,6744	0,7231	33,0737	4,2727	0,2473	0,7207	1,4585	0,2259	0,3163	0,2250	0,7234	0,8182	1,0697	
2AEN267	14.01.2020 14:10:41	43644815,63	11,91	1,31	240	170	7	2	832 PPM	609 PPM	352	2	4	6	1	0	0	57,0604	0,4265	2,8860	7,0312	2,4316	30,7965	3,7147	0,2486	1,7914	14,6354	0,5086	0,6339	0,2190	0,5904	0,9120	1,1025	
2AEN268	14.01.2020 14:23:00	42544575,00	12,17	1,40	126	124	8	6	0,14 %	522 PPM	152	1	3	5	1	0	0	55,7225	0,4360	3,0936	3,6964	1,7710	33,5851	9,5538	0,4226	1,5360	6,3105	0,4782	0,4934	0,1951	0,5372	0,9148	1,0774	
2AEN269	14.01.2020 14:35:19	42295700,00	12,17	1,40	196	170	7	6	0,15 %	666 PPM	243	2	3	6	1	0	0	55,4199	0,4360	3,0862	5,7272	2,4200	29,3996	9,3280	0,4337	1,9583	10,1103	0,5992	0,5789	0,2092	0,5339	0,9161	1,0856	
2AEN270	14.01.2020 14:47:39	42200259,38	11,97	1,38	222	167	7	6	0,14 %	680 PPM	285	2	3	6	1	0	0	55,3039	0,4288	3,0364	6,4921	2,3832	30,7986	8,9584	0,4133	2,0003	11,8707	0,6004	0,5458	0,2069	0,6140	0,9000	1,1106	
2AEN271	14.01.2020 14:59:59	41933603,13	12,54	1,41	197	179	7	5	0,19 %	855 PPM	183	2	3	6	1	0	0	54,9796	0,4492	3,1159	5,7603	2,5513	31,3029	8,2066	0,5744	2,5135	7,6232	0,5752	0,4828	0,2019	0,6066	0,8948	1,1249	
2AEN272	14.01.2020 15:12:19	41295081,25	12,47	1,42	243	204	7	5	0,18 %	950 PPM	233	2	3	6	1	0	0	54,2032	0,4466	3,1322	7,1198	2,9117	31,8116	8,0500	0,5490	2,7937	9,6913	0,5964	0,5182	0,2085	0,5921	0,9087	1,1539	
2AEN273	14.01.2020 15:24:39	40645178,13	12,18	1,41	397	340	7	5	0,18 %	0,13 %	427	2	4	6	1	0	0	53,4130	0,4365	3,0995	11,6023	4,8507	29,3224	7,6668	0,5428	3,7826	17,7612	0,7793	0,7620	0,2075	0,5843	0,9093	1,1416	
2AEN274	14.01.2020 15:36:59	41446525,00	12,67	1,40	295	264	7	3	0,24 %	0,12 %	281	2	4	6	1	0	0	54,3874	0,4539	3,0820	8,6327	3,7630	29,7781	5,1421	0,7177	3,5424	11,7027	0,6328	0,6885	0,2031	0,6615	0,8355	1,0766	
2AEN275	14.01.2020 15:50:04	40981718,75	12,54	1,39	319	271	8	3	0,25 %	0,12 %	293	2	4	5	1	0	0	53,8222	0,4494	3,0643	9,3384	3,8616	32,6653	4,9398	0,7321	3,6177	12,2090	0,6438	0,6950	0,1967	0,5773	1,0158	1,1405	
2AEN276	14.01.2020 16:02:25	41372303,13	12,46	1,38	321	281	7	3	0,22 %	0,12 %	307	2	4	6	1	0	0	54,2971	0,4462	3,0475	9,3925	4,0094	30,2830	4,6673	0,6664	3,5805	12,7737	0,5654	0,6820	0,2055	0,5461	0,9053	1,1116	
2AEN3	06.01.2020 12:16:01	46509578,13	11,16	1,28	4	25	7	1	347 PPM	90 PPM	19	1	2	5	1	0	0	60,5438	0,3998	2,8247	0,1282	0,3572	30,1078	0,8539	0,1038	0,2649	0,7861	0,1734	0,3151	0,1993	0,5886	0,9021	1,0740	
2AEN4	06.01.2020 12:28:17	46729296,88	11,50	1,26	3	19	8	0	330 PPM	113 PPM	13	0	1	5	1	0	0	60,8110	0,4120	2,7758	0,0965	0,2776	32,7034	0,1724	0,0985	0,3326	0,5229	0,1292	0,1098	0,1947	0,5178	0,9184	1,1267	
2AEN5	06.01.2020 12:40:33	46850281,25	11,53	1,27	3	20	8	0	344 PPM	95 PPM	13	0	1	5	1	0	0	60,9581	0,4129	2,7873	0,1018	0,2837	33,2757	0,1636	0,1029	0,2795	0,5215	0,1130	0,1075	0,1921	0,4884	0,8712	1,0949	
2AEN6	06.01.2020 12:52:49	47002259,38	11,57	1,26	3	19	7	0	346 PPM	97 PPM	11	0	1	5	1	0	0	61,1429	0,4144	2,7767	0,0943	0,2783	31,4370	0,1727	0,1034	0,2842	0,4526	0,1106	0,1189	0,1995	0,5354	0,8968	1,1381	
2AEN7	06.01.2020 13:34:26	43925312,50	12,86	1,41	50	96	8	2	0,25 %	631 PPM	61	2	7	6	2	0	0	57,4015	0,4608	3,1046	1,4723	1,3736	32,8702	3,3432	0,7513	1,8559	2,5370	0,7655	1,2166	0,2031	0,9773	0,9306	1,1399	
2AEN8	06.01.2020 13:46:47	44324687,50	12,63	1,41	29	84	8	2	0,25 %	548 PPM	37	2	8	5	2	0	0	57,8871	0,4525	3,1045	0,8422	1,1958	33,1653	3,0333	0,7350	1,6119	1,5309	0,6695	1,3203	0,1986	0,7906	0,8628	1,1104	
2AEN9	06.01.2020 13:59:06	43220462,50	12,28	1,47	33	113	8	5	0,25 %	555 PPM	34	3	7	6	3	0	0	56,5444	0,4398	3,2366	0,9567	1,6141	33,8565	7,4040	0,7450	1,6310	1,4314	1,0424	1,2835	0,2098	1,5393	0,8392	1,0776	
2AEN_196	13.01.2020 15:41:41	12456653,13	14,18	3,56	76	687	5	98	1,74 %	0,34 %	30	3	13	7	2	0	0	19,1371	0,5080	7,8366	2,2269	9,8055	22,2884	157,9120	5,2016	9,9187	1,2279	0,8971	2,3050	0,2561	1,0621	1,0281	1,1595	
2AEN_197	13.01.2020 15:53:56	26300353,13	14,74	2,50	84	394	6	38	1,01 %	0,20 %	35	2	8	6	2	0	0	35,9703	0,5280	5,5010	2,4509	5,6246	27,1366	61,6399	3,0071	5,8570	1,4486	0,5926	1,3615	0,2319	0,8926	0,9733	1,1992	
2AEN_198	13.01.2020 16:06:17	42643918,75	13,02	1,49	12	93	7	5	0,23 %	493 PPM	29	1	4	6	2	0	0	55,8433	0,4666	3,2838	0,3497	1,3213	32,3930	7,6300	0,6759	1,4492	1,1984	0,2389	0,7488	0,2033	1,0520	0,9581	1,1116	
2AEN_232	13.01.2020 16:18:37	46934556,25	12,23	1,25	4	23	8	0	332 PPM	89 PPM	14	0	1	5	1	0	0	61,0606	0,4382	2,7516	0,1218	0,3238	33,3859	0,2405	0,0993	0,2627	0,5911	0,1193	0,1326	0,1957	0,5260	0,8566	1,0827	
2AEN_233	13.01.2020 16:30:54	46970506,25	12,09	1,26	4	22	7	0	371 PPM	91 PPM	16	0	1	5	1	0	0	61,1043	0,4332	2,7722	0,1196	0,3088	32,2360	0,2746	0,1108	0,2683	0,6530	0,1206	0,1218	0,1900	0,5224	0,9083	1,1456	
2AENbl.box2_A	07.01.2020 20:32:36	46959984,38	12,10	1,26	3	19	8	0	343 PPM	101 PPM	13	0	1	5	1	0	0	61,0915	0,4333	2,7819	0,1023	0,2730	33,0147	0,1848	0,1023	0,2967	0,5387	0,1276	0,1109	0,1945	0,5119	0,9076	1,1141	
2AENbl.box2_B	07.01.2020 20:44:53	47142371,88	12,19	1,26	4	19	7	0	339 PPM	105 PPM	12	0	1	5	1	0	0	61,3132	0,4369	2,7696	0,1032	0,2725	30,7820	0,2014	0,1014	0,3080	0,5036	0,1257	0,1159	0,1959	0,5964	0,8150	1,0755	
2AENbl.box2_C	08.01.2020 22:11:40	47405993,75	12,16	1,26	3	19	7	0	335 PPM	103 PPM	12	0	1	5	1	0	0	61,6338	0,4357	2,7687	0,0962	0,2698	31,5656	0,1528	0,1000	0,3024	0,4872	0,1167	0,1102	0,1943	0,4865	0,9549	1,1110	
2AENbl.box3_223	13.01.2020 13:50:01	47167268,75	12,08	1,26	3	19	7	0	325 PPM	91 PPM	12	0	1	5	1	0	0	61,3435	0,4329	2,7671	0,0985	0,2752	31,3967	0,1630	0,0970	0,2689	0,5029	0,1132	0,1079	0,1885	0,4826	0,8600	1,1090	
2AENbl.box3_224	13.01.2020 14:02:34	47056146,88	12,14	1,26	3	19	7	0	333 PPM	94 PPM	11	0	1	5	1	0	0	61,2084	0,4350	2,7689	0,0928	0,2721	32,0090	0,2165	0,0994	0,2762	0,4680	0,1231	0,1139	0,1924	0,4956	0,8959	1,0951	
2AENbl.box3_225	13.01.2020 14:15:31	47019696,88	12,10	1,26	3	19	7	0	332 PPM	93 PPM	11	0	1	5	1	0	0	61,1641	0,4335	2,7861	0,0946	0,2770	31,2873	0,2172	0,0992	0,2722	0,4564	0,1182	0,1153	0,1988	0,5978	0,8204	1,0629	
2AENmq_205	13.01.2020 10:08:19	46912471,88	12,10	1,25	4	22	7	0	342 PPM	90 PPM	13	0	1	5	1	0	0	61,0337	0,4336	2,7613	0,1136	0,3118	30,4498	0,2788	0,1022	0,2650	0,5493	0,1213	0,1724	0,1989	0,5195	0,8890	1,1002	
2AENmq_206	13.01.2020 10:21:03	46872953,13	12,27	1,26	5	24	7	0	353 PPM	360 PPM	19	0	2	6	1	0	0	60,9856	0,4394	2,7765	0,1419	0,3371	28,1871	0,3786	0,1055	1,0593	0,8032	0,1327	0,2940	0,2086	0,5363	0,9182	1,1817	
2AENmq_207	13.01.2020 10:33:19	46968575,00	11,99	1,26	4	20	6	0	349 PPM	91 PPM	17	0	1	5	1	0	0	61,1019	0,4296	2,7677	0,1035	0,2916	27,8714	0,3371	0,1042	0,2680	0,7065	0,1202	0,1456	0,1967	0,5206	0,8945	1,1126	
2AENp1_10UZ	10.01.2020 10:23:30	43927946,88	12,29	1,37	107	153	8	3	0,21 %	648 PPM	132	2	4	5	2	0	0	57,4047	0,4402	3,0241	3,1268	2,1798	33,2025	4,3413	0,6319	1,9048	5,5122	0,7962	0,7409	0,1998	0,9344	0,9019	1,1192	
2AENp1_27UZ	10.01.2020 10:35:46	46171859,38	11,97	1,28	31	66	7	2	782 PPM	228 PPM	54	1	2	6	2	0	0	60,1331	0,4287	2,8206	0,9196	0,9450	31,6802	3,0777	0,2338	0,6703	2,2314	0,4056	0,3406	0,2163	0,8641	0,9040	1,0700	
2AENp1_29UZ	10.01.2020 10:47:58	37131487,50	11,35	1,76	101	420	11	20	0,23 %	434 PPM	187	9	20	18	16	0	0	49,1405	0,4065	3,8788	2,9636	5,9910	46,1544	32,3924	0,6849	1,2772	7,7966	2,9683	3,4874	0,6441	8,4037	0,9795	1,1214	
2AENp1_30UZ	10.01.2020 11:00:07	36994134,38	11,32	1,86	119	459	11	22	0,25 %	433 PPM	95	10	7	19	17	0	0	48,9735	0,4055	4,0958	3,4885	6,5490	45,7161	34,9256	0,7343	1,2740	3,9618	3,1629	1,1419	0,7092	9,0438	0,9434	1,1707	
2AENp1_7UZ	10.01.2020 10:10:50	44470606,25	12,69	1,38	50	98	8	2	0,25 %	605 PPM	60	2	7	6	2	0	0	58,0645	0,4547	3,0501	1,4769	1,3971	33,5564	3,3341	0,7572	1,7792	2,4799	0,7423	1,2249	0,2034	0,9540	0,8999	1,1067	
2AENp2_37UZ	10.01.2020 11:12:54	44658390,63	12,91	1,33	57	129	8	1	0,19 %	821 PPM	51	1	3	6	1	0	0	58,2928	0,4626	2,9357	1,6822	1,8479	32,9729	0,8749	0,5608	2,4136	2,1067	0,3070	0,5488	0,2074	0,6144	0,8773	1,1252	
2AENp2_46UZ	10.01.2020 11:25:09	45854415,63	12,34	1,27	50	83	7	1	0,16 %	412 PPM	93	2	4	6	1	0	0	59,7472	0,4422	2,7987	1,4751	1,1823	31,1644	1,6827	0,4876	1,2125	3,8623	0,5442	0,7188	0,2089	0,6848	0,9519	1,1033	
2AENp2_47UZ	10.01.2020 11:37:24	45403103,13	12,28	1,28	97	131	8	1	0,17 %	544 PPM	176	2	3	6	1	0	0	59,1984	0,4398	2,8098	2,8434	1,8703	34,0979	2,0045	0,4944	1,5986	7,3024	0,5912	0,5391	0,2061	0,7570	0,8158	1,0794	
2AENp3_049	07.01.2020 12:00:42	47077740,63	11,94	1,26	4	23	7	0	359 PPM	87 PPM	14	0	1	5	1	0	0	61,2347	0,4276	2,7718	0,1292	0,3243	32,2065	0,3635	0,1072	0,2573	0,5915	0,1464	0,1251	0,1940	0,5673	0,9357	1,1318	
2AENp3_050	07.01.2020 12:12:58	46919109,38	11,99	1,26	4	23	8	0	351 PPM	80 PPM	11	0	1	5	1	0	0	61,0418	0,4297	2,7789	0,1196	0,3226	34,0861	0,4153	0,1047	0,2359	0,4529	0,1172	0,1207	0,1911	0,6277	0,8184	1,0576	
2AENp3_051	07.01.2020 12:25:16	47111978,13	12,00	1,27	4	22	7	0	350 PPM	93 PPM	13	0	1	5	1	0	0	61,2763	0,4300	2,7958	0,1298	0,3167	30,9205	0,3484	0,1046	0,2731	0,5497	0,1263	0,1303	0,1951	0,5219	0,8781	1,0792	
2AENp3_052	07.01.2020 12:38:06	43411643,75	12,31	1,30	210	198	7	1	0,14 %	677 PPM	279	2	3	6	1	0	0	56,7769	0,4410	2,8678	6,1451	2,8275	30,7394	1,7207	0,4239	1,9896	11,6229	0,4868	0,5463	0,2008	0,6014	0,8796	1,1124	
2AENp3_053	07.01.2020 12:50:25	44017959,38	11,93	1,30	162	147	7	1	0,13 %	574 PPM	222	2	3	6	1	0	0	57,5141	0,4274	2,8604	4,7273	2,1029	30,8648	1,5979	0,3834	1,6866	9,2162	0,4880	0,5996	0,2082	0,6124	0,9373	1,1258	
2AENp3_054	07.01.2020 13:02:44	44105912,50	12,25	1,31	141	145	7	1	0,12 %	532 PPM	182	1	2	5	1	0	0	57,6211	0,4390	2,8797	4,1305	2,0700	31,9270	1,6327	0,3561	1,5644	7,5676	0,3653	0,4194	0,1934	0,5476	0,8734	1,0542	
2AENp3_055	07.01.2020 13:15:03	43350431,25	12,04	1,31	129	145	8	1	0,12 %	508 PPM	264	1	15	5	1	0	0	56,7024	0,4312	2,8900	3,7707	2,0683	34,1116	1,9253	0,3708	1,4939	10,9979	0,3376	2,5428	0,1911	0,5902	0,8761	1,1134	
2AENp3_056	07.01.2020 13:27:25	43054315,63	11,96	1,32	290	286	7	1	0,13 %	903 PPM	447	2	4	6	1	0	0	56,3424	0,4284	2,9041	8,4897	4,0880	31,0871	1,8977	0,3785	2,6558	18,5866	0,6293	0,6731	0,2051	0,6383	0,8826	1,1094	
2AENp3_057	07.01.2020 13:39:44	44849453,13	12,33	1,31	107	136	7	1	0,12 %	472 PPM	153	1	3	5	1	0	0	58,5252	0,4416	2,8929	3,1317	1,9484	31,2615	1,9398	0,3463	1,3871	6,3670	0,3342	0,4394	0,1997	0,6722	0,8343	1,0648	
2AENp3_058	07.01.2020 13:52:03	44150037,50	12,70	1,33	47	89	7	1	0,18 %	367 PPM	100	1	9	6	1	0	0	57,6747	0,4550	2,9271	1,3758	1,2672	31,2795	2,2761	0,5301	1,0797	4,1539	0,3224	1,4767	0,2329	0,5971	0,9028	1,1050	
2AENp3_059	07.01.2020 14:04:23	45147775,00	12,52	1,34	40	72	6	1	0,18 %	374 PPM	49	1	2	6	1	0	0	58,8879	0,4487	2,9477	1,1738	1,0230	27,7336	2,2412	0,5426	1,1009	2,0188	0,3453	0,3411	0,2347	0,5919	0,9117	1,1146	
2AENp3_060	07.01.2020 14:16:43	43280906,25	12,49	1,33	176	150	7	1	0,20 %	571 PPM	183	2	2	6	1	0	0	56,6179	0,4476	2,9265	5,1485	2,1426	32,3453	2,2419	0,5934	1,6785	7,6027	0,4914	0,4293	0,2320	0,6146	0,9291	1,1196	
2AENp3_061	07.01.2020 14:29:02	42341993,75	12,47	1,35	244	208	7	1	0,19 %	741 PPM	240	2	3	6	1	0	0	55,4762	0,4467	2,9741	7,1445	2,9704	32,0522	2,1146	0,5566	2,1795	9,9761	0,5371	0,4980	0,2326	0,6393	0,9051	1,1251	
2AENp3_062	07.01.2020 14:41:23	42021575,00	12,40	1,35	263	207	8	1	0,19 %	685 PPM	245	2	3	6	1	0	0	55,0866	0,4441	2,9653	7,6905	2,9565	33,9992	2,2161	0,5548	2,0150	10,1983	0,5608	0,4750	0,2336	0,6028	0,8922	1,0953	
2AENp3_063	07.01.2020 14:53:42	41764615,63	12,21	1,34	292	219	8	1	0,21 %	768 PPM	278	3	3	7	1	0	0	54,7742	0,4374	2,9575	8,5524	3,1210	33,1407	2,1624	0,6276	2,2577	11,5628	0,8403	0,5014	0,2369	0,5963	0,8774	1,1177	
2AENp3_064	07.01.2020 15:06:04	43007893,75	12,26	1,35	199	179	8	2	0,14 %	588 PPM	211	2	2	7	1	0	0	56,2859	0,4394	2,9738	5,8221	2,5506	34,4003	2,9013	0,4095	1,7283	8,7716	0,4873	0,4158	0,2372	0,6753	0,8777	1,1250	
2AENp3_065	07.01.2020 15:18:23	42920221,88	12,43	1,35	213	186	8	2	0,17 %	687 PPM	235	2	3	7	1	0	0	56,1793	0,4453	2,9702	6,2281	2,6567	33,2307	2,7920	0,5159	2,0200	9,7856	0,7256	0,4623	0,2384	0,6664	1,0048	1,1374	
2AENp3_066	07.01.2020 15:30:44	43066415,63	12,36	1,35	199	187	8	2	0,14 %	661 PPM	214	2	3	7	1	0	0	56,3571	0,4429	2,9762	5,8338	2,6652	32,8497	3,0329	0,4259	1,9439	8,8873	0,4956	0,4403	0,2407	0,7668	0,8212	1,0825	
2AENp3_067	07.01.2020 15:43:33	42863725,00	12,06	1,35	201	180	7	2	0,15 %	593 PPM	216	2	3	7	1	0	0	56,1106	0,4319	2,9699	5,8859	2,5750	30,5500	3,8562	0,4429	1,7438	8,9753	0,5440	0,4584	0,2699	0,7678	0,8914	1,1427	
2AENp3_068	07.01.2020 15:55:51	42212578,13	12,06	1,33	322	260	7	2	0,14 %	766 PPM	366	2	3	7	2	0	0	55,3189	0,4321	2,9266	9,4251	3,7058	32,3728	3,5351	0,4323	2,2533	15,2257	0,6714	0,5906	0,2590	0,7927	0,8773	1,0935	
2AENp3_069	07.01.2020 16:08:12	44966128,13	12,61	1,36	52	90	8	2	0,14 %	351 PPM	57	1	2	7	1	0	0	58,6670	0,4516	2,9982	1,5240	1,2798	33,3928	3,6252	0,4166	1,0327	2,3883	0,4030	0,3193	0,2625	0,7207	0,9524	1,0991	
2AENp3_070	07.01.2020 16:20:31	43355884,38	11,93	1,41	92	153	8	5	981 PPM	329 PPM	116	3	3	11	3	0	0	56,7091	0,4274	3,0983	2,6928	2,1834	35,7151	8,5106	0,2931	0,9675	4,8395	0,8208	0,5614	0,3918	1,7967	0,9403	1,1278	
2AENp3_071	07.01.2020 16:32:50	43054034,38	11,80	1,39	138	169	8	5	926 PPM	408 PPM	179	3	3	11	3	0	0	56,3420	0,4226	3,0696	4,0450	2,4186	35,7969	7,5798	0,2767	1,1996	7,4664	0,8151	0,5574	0,3897	1,6660	0,8973	1,1231	
2AENp3_072	07.01.2020 16:45:07	43354262,50	11,93	1,39	154	163	7	5	913 PPM	379 PPM	196	2	3	11	3	0	0	56,7071	0,4274	3,0721	4,5143	2,3206	31,6521	7,6813	0,2729	1,1156	8,1526	0,7798	0,5668	0,3838	1,6343	0,9123	1,1000	
2AENp3_073	07.01.2020 16:57:20	39866478,13	11,65	1,67	72	304	10	15	0,14 %	311 PPM	65	7	5	28	10	0	0	52,4661	0,4175	3,6891	2,0995	4,3370	44,0854	23,4124	0,4126	0,9136	2,6896	2,2570	0,8238	1,0062	5,0948	0,8887	1,0888	
2AENp3_074	07.01.2020 17:09:31	39233118,75	11,48	1,73	74	339	10	17	0,15 %	306 PPM	59	8	5	31	12	0	0	51,6960	0,4112	3,8159	2,1677	4,8462	44,2237	26,9694	0,4617	0,8991	2,4348	2,6696	0,9211	1,1154	5,9862	0,9234	1,1426	
2AENp3_075	07.01.2020 17:21:43	39305562,50	11,53	1,67	195	380	10	15	0,15 %	462 PPM	202	8	6	28	10	0	0	51,7841	0,4129	3,6888	5,7166	5,4301	43,1957	23,8339	0,4375	1,3575	8,3874	2,4851	1,0160	1,0333	5,3121	0,9228	1,1461	
2AENp3_61UZ	10.01.2020 11:49:45	42697731,25	12,34	1,32	250	211	8	1	0,17 %	746 PPM	243	2	3	6	1	0	0	55,9088	0,4421	2,9130	7,3099	3,0139	32,9002	2,1111	0,5226	2,1950	10,1085	0,4962	0,4973	0,2354	0,5967	0,8861	1,1280	
2AENp3_63UZ	10.01.2020 12:02:04	42241193,75	12,27	1,32	293	220	7	1	0,18 %	732 PPM	272	2	3	6	1	0	0	55,3536	0,4395	2,9139	8,5763	3,1393	31,3489	2,2140	0,5375	2,1527	11,3342	0,6159	0,5021	0,2352	0,7040	0,8326	1,0716	
2AENp3_65UZ	10.01.2020 12:14:23	43473725,00	12,25	1,32	211	186	8	2	0,15 %	648 PPM	227	2	3	7	1	0	0	56,8523	0,4389	2,9102	6,1785	2,6507	32,7250	2,7738	0,4581	1,9065	9,4266	0,5889	0,4407	0,2375	0,6405	0,8900	1,1160	
2AENp4_076	07.01.2020 17:43:53	46592318,75	12,19	1,26	6	22	7	0	340 PPM	90 PPM	16	0	1	5	1	0	0	60,6444	0,4367	2,7656	0,1699	0,3160	32,1352	0,3946	0,1017	0,2656	0,6535	0,1385	0,1505	0,1933	0,5238	0,8623	1,0986	
2AENp4_077	07.01.2020 18:06:05	46435165,63	12,20	1,25	7	24	8	0	329 PPM	108 PPM	18	0	1	5	1	0	0	60,4533	0,4370	2,7591	0,2036	0,3376	32,7117	0,4024	0,0984	0,3173	0,7537	0,1368	0,1553	0,1933	0,5093	0,8584	1,0737	
2AENp4_078	07.01.2020 18:29:05	46660212,50	12,09	1,25	5	22	8	0	330 PPM	88 PPM	14	0	1	5	1	0	0	60,7270	0,4333	2,7579	0,1327	0,3100	33,4995	0,2958	0,0986	0,2602	0,5710	0,1297	0,1617	0,1916	0,5513	0,9282	1,1271	
2AENp4_079	07.01.2020 18:41:51	44085193,75	12,43	1,36	83	122	8	3	0,17 %	477 PPM	92	1	3	5	1	0	0	57,5959	0,4452	2,9978	2,4167	1,7440	33,6289	4,2665	0,5134	1,4033	3,8167	0,3625	0,4533	0,1963	0,7112	0,8741	1,0859	
2AENp4_080	07.01.2020 18:54:10	41502375,00	12,58	1,36	312	269	8	3	0,19 %	900 PPM	346	2	4	5	1	0	0	54,4553	0,4506	2,9953	9,1247	3,8387	33,6030	4,4726	0,5820	2,6465	14,3884	0,6699	0,7112	0,1954	0,7677	0,8753	1,0987	
2AENp4_081	07.01.2020 19:06:29	43034381,25	12,52	1,36	186	174	7	3	0,19 %	648 PPM	205	2	3	5	1	0	0	56,3181	0,4484	2,9884	5,4354	2,4901	31,7228	4,1463	0,5569	1,9048	8,5097	0,5007	0,5506	0,1980	0,7297	0,8985	1,0993	
2AENp4_082	07.01.2020 19:18:47	42398990,63	12,43	1,34	245	213	7	2	0,19 %	762 PPM	267	2	3	6	1	0	0	55,5455	0,4454	2,9627	7,1668	3,0476	30,7742	3,4543	0,5543	2,2423	11,1145	0,5381	0,5254	0,2099	0,6346	0,8865	1,1298	
2AENp4_083	07.01.2020 19:31:05	41446762,50	12,27	1,36	331	280	7	2	0,21 %	0,10 %	377	2	4	6	1	0	0	54,3877	0,4395	2,9873	9,6930	4,0002	29,8734	3,7607	0,6301	2,9464	15,6963	0,7392	0,6695	0,2086	0,6423	0,9339	1,1158	
2AENp4_084	07.01.2020 19:43:20	44706753,13	12,87	1,36	40	86	8	2	0,17 %	401 PPM	44	1	2	6	1	0	0	58,3517	0,4610	2,9868	1,1661	1,2264	34,6910	3,4070	0,5008	1,1793	1,8168	0,2727	0,3440	0,2022	0,6018	0,8739	1,1376	
2AENp4_085	07.01.2020 19:55:40	41955525,00	13,02	1,38	205	188	8	2	0,29 %	990 PPM	190	1	4	6	1	0	0	55,0063	0,4664	3,0357	5,9987	2,6846	32,5362	3,4564	0,8554	2,9111	7,9173	0,4799	0,7191	0,2190	0,6717	0,9031	1,1351	
2AENp4_086	07.01.2020 20:08:00	41237906,25	12,94	1,37	289	232	7	2	0,32 %	0,11 %	249	2	4	6	1	0	0	54,1337	0,4637	3,0214	8,4451	3,3128	32,1467	3,6647	0,9708	3,3038	10,3421	0,6438	0,6172	0,2271	0,7639	0,8303	1,0748	
2AENp4_087	07.01.2020 20:20:18	40914975,00	12,76	1,38	325	247	7	2	0,31 %	0,12 %	285	2	3	6	1	0	0	53,7410	0,4571	3,0303	9,5060	3,5269	29,8279	3,4909	0,9241	3,4351	11,8605	0,6868	0,5841	0,2176	0,6509	0,9179	1,0796	
2AENp4_088	08.01.2020 09:58:41	43532175,00	11,79	1,36	168	193	7	4	0,13 %	569 PPM	240	2	6	7	2	0	0	56,9234	0,4222	2,9929	4,9185	2,7623	31,8684	6,1438	0,3790	1,6726	9,9774	0,6938	1,0186	0,2640	0,9681	0,9425	1,1485	
2AENp4_089	08.01.2020 10:11:00	43612590,63	11,92	1,35	132	169	7	4	0,14 %	529 PPM	189	2	4	7	2	0	0	57,0212	0,4269	2,9834	3,8575	2,4072	30,2882	6,6466	0,4189	1,5559	7,8729	0,7143	0,6576	0,2650	0,9663	0,9153	1,0871	
2AENp4_090	08.01.2020 10:23:58	44225378,13	11,99	1,35	114	161	8	4	0,11 %	453 PPM	167	2	3	7	2	0	0	57,7663	0,4297	2,9843	3,3473	2,3017	34,3012	5,7527	0,3269	1,3317	6,9528	0,5711	0,5035	0,2528	0,9365	0,8869	1,1190	
2AENp4_091	08.01.2020 11:10:50	43320312,50	11,93	1,35	167	177	8	3	0,11 %	493 PPM	205	2	3	8	2	0	0	56,6658	0,4273	2,9673	4,8808	2,5296	33,2745	5,3098	0,3414	1,4490	8,5172	0,6479	0,5739	0,2799	1,1743	0,8306	1,0726	
2AENp4_092	08.01.2020 10:36:17	43416106,25	11,83	1,35	173	185	8	3	0,12 %	509 PPM	217	2	3	7	2	0	0	56,7823	0,4239	2,9768	5,0646	2,6481	32,6905	5,4475	0,3460	1,4979	9,0104	0,6758	0,5763	0,2724	1,0296	0,8984	1,0990	
2AENp4_093	08.01.2020 10:48:34	44881215,63	12,12	1,35	53	101	8	3	0,11 %	297 PPM	67	2	3	7	2	0	0	58,5638	0,4342	2,9843	1,5634	1,4401	32,9545	5,2081	0,3389	0,8746	2,7913	0,5519	0,4427	0,2670	1,0237	1,0498	1,1289	
2AENp4_094	08.01.2020 11:23:42	44313062,50	12,09	1,33	119	138	7	3	0,15 %	516 PPM	162	3	3	7	2	0	0	57,8729	0,4331	2,9355	3,4732	1,9671	31,1481	4,2081	0,4565	1,5187	6,7591	0,8972	0,5908	0,2678	1,0294	0,9417	1,1130	
2AENp4_095	08.01.2020 11:36:32	43437953,13	11,78	1,33	186	186	8	3	0,11 %	526 PPM	229	2	4	7	2	0	0	56,8088	0,4219	2,9309	5,4297	2,6540	34,3352	4,1292	0,3221	1,5472	9,5211	0,6622	0,6336	0,2594	1,0446	0,9325	1,1083	
2AENp4_096	08.01.2020 11:48:53	43691553,13	11,94	1,34	177	184	7	2	0,11 %	524 PPM	232	2	3	7	2	0	0	57,1172	0,4278	2,9487	5,1642	2,6227	31,1684	4,0274	0,3141	1,5424	9,6520	0,6085	0,5936	0,2638	0,9755	0,9068	1,0919	
